accession,variety,location,year,plant_height,leaf_length,leaf_width,fruit_weight,fruit_length,fruit_width,flowering_time,maturity_time,yield_per_plant,sugar_content,vitamin_c
SL001,红樱桃,北京,2023,85.2,10.5,5.2,165.3,6.8,4.2,52,85,2350.5,6.2,18.5
SL002,黄樱桃,上海,2023,92.1,11.2,5.8,178.9,7.1,4.5,48,82,2580.3,5.8,20.1
SL003,大红果,广州,2023,78.5,9.8,4.9,198.7,8.2,5.1,55,88,2120.8,7.1,16.8
SL004,粉果,深圳,2023,88.3,10.9,5.5,156.2,6.5,4.0,50,84,2290.6,6.5,19.2
SL005,绿果,杭州,2023,95.7,12.1,6.2,142.8,5.9,3.8,46,80,2650.4,5.2,21.3
SL006,红樱桃,北京,2022,83.8,10.2,5.0,162.1,6.6,4.1,53,86,2280.9,6.0,18.0
SL007,黄樱桃,上海,2022,90.5,11.0,5.6,175.4,7.0,4.4,49,83,2520.7,5.9,19.8
SL008,大红果,广州,2022,76.9,9.5,4.7,195.3,8.0,5.0,56,89,2050.2,7.3,16.5
SL009,粉果,深圳,2022,86.7,10.7,5.3,158.9,6.7,4.2,51,85,2310.1,6.3,19.0
SL010,绿果,杭州,2022,93.2,11.8,6.0,145.6,6.1,3.9,47,81,2590.8,5.4,21.0
